symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
qnt,Quant,200.13,2918869952,27,9124760688,362150557.0,224.6,192.53,6.33,3.2653,317450297.0,12.203,14544190.76,14612493.0,45467000.0,427.42,-53.05,2021-09-11 09:15:00.668000 UTC,0.22,92909.52,2018-08-23 00:00:00.000000 UTC,2022-10-18 03:04:59.137000 UTC
xlm,Stellar,0.11,2897165687,28,5656334078,63818645.0,0.12,0.11,0.0,0.2527,14109007.0,0.4894,25610839326.52,50001787564.2533,50001787564.2533,0.88,-87.08,2018-01-03 00:00:00.000000 UTC,0.0,23660.33,2015-03-05 00:00:00.000000 UTC,2022-10-18 03:05:08.379000 UTC
cro,Cronos,0.11,2731514218,29,,38134537.0,0.11,0.1,0.0,4.165,110554955.0,4.2181,25263013692.0,30263013692.0,,0.97,-88.8,2021-11-24 15:53:54.855000 UTC,0.01,792.13,2019-02-08 00:00:00.000000 UTC,2022-10-18 03:04:48.805000 UTC
xmr,Monero,142.91,2596498124,30,,71430366.0,144.95,142.65,-0.33,-0.2279,-1750316.47,-0.0674,18147820.38,,,542.33,-73.62,2018-01-09 00:00:00.000000 UTC,0.22,66084.27,2015-01-14 00:00:00.000000 UTC,2022-10-18 03:05:38.366000 UTC
near,NEAR Protocol,3.03,2465436178,31,3034084770,100063929.0,3.08,2.97,0.06,1.9165,49126365.0,2.0331,812579860.15,1000000000.0,1000000000.0,20.44,-85.16,2022-01-16 22:09:45.873000 UTC,0.53,475.91,2020-11-04 16:09:15.137000 UTC,2022-10-18 03:04:46.443000 UTC
algo,Algorand,0.33,2290389672,32,3263549858,64966752.0,0.33,0.32,0.01,2.0615,48710485.0,2.173,7018093094.82,7248609375.92464,10000000000.0,3.56,-90.84,2019-06-20 14:51:19.480000 UTC,0.11,209.82,2020-03-13 02:20:48.438000 UTC,2022-10-18 03:05:41.405000 UTC
bch,Bitcoin Cash,109.78,2109929081,33,2307275293,468873681.0,111.08,109.35,0.28,0.2554,7042261.0,0.3349,19203824.9,21000000.0,21000000.0,3785.82,-97.1,2017-12-20 00:00:00.000000 UTC,76.93,42.82,2018-12-16 00:00:00.000000 UTC,2022-10-18 03:05:15.490000 UTC
lunc,Terra Luna Classic,0.0,1836070578,34,,188282865.0,0.0,0.0,0.0,1.171,17040562.0,0.9368,6885199564847.2,6907072876045.07,,119.18,-100.0,2022-04-05 12:24:58.854000 UTC,0.0,26570.93,2022-05-13 02:34:40.340000 UTC,2022-10-18 03:05:01.717000 UTC
vet,VeChain,0.02,1676586936,35,2004950650,47331986.0,0.02,0.02,0.0,1.3085,22235306.0,1.344,72511146418.0,85985041177.0,86712634466.0,0.28,-91.77,2021-04-19 01:08:21.675000 UTC,0.0,1105.59,2020-03-13 02:29:59.652000 UTC,2022-10-18 03:04:52.685000 UTC
flow,Flow,1.53,1586511182,36,2081266412,30728522.0,1.57,1.48,0.05,3.3939,50833633.0,3.3102,1036200000.0,1359340091.58511,1359340091.58511,42.4,-96.39,2021-04-05 13:49:10.098000 UTC,1.24,23.97,2022-06-18 20:11:35.436000 UTC,2022-10-18 03:04:21.740000 UTC
fil,Filecoin,5.21,1560967305,37,10247684890,95795895.0,5.27,5.09,0.1,1.8618,31705303.0,2.0732,299590017.0,1966795897.0,1966795897.0,236.84,-97.8,2021-04-01 13:29:41.564000 UTC,4.76,9.41,2022-10-13 10:37:27.974000 UTC,2022-10-18 03:04:48.149000 UTC
hbar,Hedera,0.06,1541752286,38,3165432138,43768929.0,0.06,0.06,0.0,4.3028,65946236.0,4.4685,24352951174.89,50000000000.0,50000000000.0,0.57,-88.88,2021-09-15 10:40:28.318000 UTC,0.01,541.98,2020-01-02 17:30:24.852000 UTC,2022-10-18 03:04:48.593000 UTC
ape,ApeCoin,4.52,1421450475,39,4523760835,94406180.0,4.61,4.49,0.03,0.6194,9081937.0,0.643,314218750.0,1000000000.0,1000000000.0,26.7,-83.05,2022-04-28 21:44:21.164000 UTC,3.1,45.97,2022-06-15 09:20:22.479000 UTC,2022-10-18 03:04:37.571000 UTC
xcn,Chain,0.06,1370058120,40,3410068020,12751097.0,0.06,0.06,-0.0,-1.2893,-14638066.0,-1.0571,21482775365.82,53470523779.0,53470523779.0,0.18,-65.4,2022-05-27 11:45:24.820000 UTC,0.0,2118.81,2022-06-14 06:35:07.084000 UTC,2022-10-18 03:05:01.679000 UTC
frax,Frax,1.0,1362121943,41,1362121943,6974635.0,1.01,1.0,0.0,0.4119,2347410.0,0.1726,1363108793.49,1363108793.49405,1363108793.49405,1.14,-12.34,2021-02-07 12:55:35.766000 UTC,0.89,12.12,2021-12-04 05:33:57.315000 UTC,2022-10-18 03:04:44.101000 UTC
icp,Internet Computer,5.04,1354820124,42,2368503083,30631868.0,5.13,4.99,0.04,0.8185,12270798.0,0.914,268397445.39,491039287.919733,469213710.0,700.65,-99.28,2021-05-10 16:05:53.653000 UTC,4.69,7.46,2022-10-13 10:37:27.273000 UTC,2022-10-18 03:04:31.244000 UTC
egld,Elrond,56.77,1345758147,43,1784951890,31574805.0,57.9,55.29,1.34,2.4174,33247932.0,2.5332,23685926.0,24446858.0,31415926.0,545.64,-89.59,2021-11-23 10:33:26.737000 UTC,6.51,773.21,2020-10-07 01:44:53.554000 UTC,2022-10-18 03:04:50.127000 UTC
xtz,Tezos,1.39,1255093305,44,,16757086.0,1.41,1.35,0.03,2.3909,29288150.0,2.3893,905050553.18,,,9.12,-84.79,2021-10-04 00:41:18.025000 UTC,0.35,295.65,2018-12-07 00:00:00.000000 UTC,2022-10-18 03:04:44.832000 UTC
sand,The Sandbox,0.79,1193021362,45,2379427585,105730375.0,0.8,0.77,0.02,2.4393,29440213.0,2.5301,1504170208.22,3000000000.0,3000000000.0,8.4,-90.55,2021-11-25 06:04:40.957000 UTC,0.03,2637.08,2020-11-04 15:59:14.441000 UTC,2022-10-18 03:04:44.412000 UTC
mana,Decentraland,0.65,1171822684,46,1417504141,78918998.0,0.66,0.64,0.01,1.1278,15905459.0,1.376,1813313983.94,2193488927.32015,2193488927.32015,5.85,-88.95,2021-11-25 10:04:18.534000 UTC,0.01,6896.28,2017-10-31 00:00:00.000000 UTC,2022-10-18 03:06:01.350000 UTC
